Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec	xylenScalar
2019056	13.5	NA	NA	NA	0	NA	NA	NA	72.4	506.8771	NA	NaN	NaN	-10	0	-999	-999	1
2019056	14	NA	NA	NA	0	NA	NA	NA	72.4	506.0594	NA	NaN	NaN	-10	0	-999	-999	1
2019056	14.5	NA	NA	NA	0	NA	NA	NA	72.4	506.4727	NA	NaN	NaN	-10	0	-999	-999	1
2019056	15	NA	NA	NA	0	NA	NA	NA	72.4	505.5013	NA	NaN	NaN	-10	0	-999	-999	1
2019056	15.5	NA	NA	NA	0	NA	NA	NA	72.4	505.5676	NA	NaN	NaN	-10	0	-999	-999	1
2019056	16	NA	NA	NA	0	NA	NA	NA	72.4	505.3745	NA	NaN	NaN	-10	0	-999	-999	1
2019056	16.5	NA	NA	NA	0	NA	NA	NA	72.4	505.795	NA	NaN	NaN	-10	0	-999	-999	1
2019056	17	NA	NA	NA	0	NA	NA	NA	72.4	506.7809	NA	NaN	NaN	-10	0	-999	-999	1
2019056	17.5	NA	NA	NA	0	NA	NA	NA	72.4	507.8045	NA	NaN	NaN	-10	0	-999	-999	1
2019056	18	NA	NA	NA	0	NA	NA	NA	72.4	509.2078	NA	NaN	NaN	-10	0	-999	-999	1
2019056	18.5	NA	NA	NA	0	NA	NA	NA	72.4	510.0542	NA	NaN	NaN	-10	0	-999	-999	1
2019056	19	NA	NA	NA	0	NA	NA	NA	72.4	510.0533	NA	NaN	NaN	-10	0	-999	-999	1
2019056	19.5	NA	NA	NA	0	NA	NA	NA	72.4	509.5235	NA	NaN	NaN	-10	0	-999	-999	1
2019056	20	NA	NA	NA	0	NA	NA	NA	72.4	509.9928	NA	NaN	NaN	-10	0	-999	-999	1
2019056	20.5	NA	NA	NA	0	NA	NA	NA	72.4	511.007	NA	NaN	NaN	-10	0	-999	-999	1
2019056	21	NA	NA	NA	0	NA	NA	NA	72.4	511.2588	NA	NaN	NaN	-10	0	-999	-999	1
2019056	21.5	NA	NA	NA	0	NA	NA	NA	72.4	510.271	NA	NaN	NaN	-10	0	-999	-999	1
2019056	22	NA	NA	NA	0	NA	NA	NA	72.4	509.4203	NA	NaN	NaN	-10	0	-999	-999	1
2019056	22.5	NA	NA	NA	0	NA	NA	NA	72.4	508.7189	NA	NaN	NaN	-10	0	-999	-999	1
2019056	23	NA	NA	NA	0	NA	NA	NA	72.4	508.4022	NA	NaN	NaN	-10	0	-999	-999	1
2019056	23.5	NA	NA	NA	0	NA	NA	NA	72.4	508.1509	NA	NaN	NaN	-10	0	-999	-999	1
2019057	0	NA	NA	NA	0	NA	NA	NA	72.4	507.5201	NA	NaN	NaN	-10	0	-999	-999	1
2019057	0.5	NA	NA	NA	0	NA	NA	NA	72.4	507.5979	NA	NaN	NaN	-10	0	-999	-999	1
2019057	1	NA	NA	NA	0	NA	NA	NA	72.4	508.043	NA	NaN	NaN	-10	0	-999	-999	1
2019057	1.5	NA	NA	NA	0	NA	NA	NA	72.4	508.912	NA	NaN	NaN	-10	0	-999	-999	1
2019057	2	NA	NA	NA	0	NA	NA	NA	72.4	509.6628	NA	NaN	NaN	-10	0	-999	-999	1
2019057	2.5	NA	NA	NA	0	NA	NA	NA	72.4	510.1375	NA	NaN	NaN	-10	0	-999	-999	1
2019057	3	NA	NA	NA	0	NA	NA	NA	72.4	509.7404	NA	NaN	NaN	-10	0	-999	-999	1
2019057	3.5	NA	NA	NA	0	NA	NA	NA	72.4	510.3879	NA	NaN	NaN	-10	0	-999	-999	1
2019057	4	NA	NA	NA	0	NA	NA	NA	72.4	511.2712	NA	NaN	NaN	-10	0	-999	-999	1
2019057	4.5	NA	NA	NA	0	NA	NA	NA	72.4	511.0664	NA	NaN	NaN	-10	0	-999	-999	1
2019057	5	NA	NA	NA	0	NA	NA	NA	72.4	510.5011	NA	NaN	NaN	-10	0	-999	-999	1
2019057	5.5	NA	NA	NA	0	NA	NA	NA	72.4	509.6219	NA	NaN	NaN	-10	0	-999	-999	1
2019057	6	NA	NA	NA	0	NA	NA	NA	72.4	509.6165	NA	NaN	NaN	-10	0	-999	-999	1
2019057	6.5	NA	NA	NA	0	NA	NA	NA	72.4	508.4618	NA	NaN	NaN	-10	0	-999	-999	1
2019057	7	NA	NA	NA	0	NA	NA	NA	72.4	509.0169	NA	NaN	NaN	-10	0	-999	-999	1
2019057	7.5	NA	NA	NA	0	NA	NA	NA	72.4	508.6573	NA	NaN	NaN	-10	0	-999	-999	1
2019057	8	NA	NA	NA	0	NA	NA	NA	72.4	507.7986	NA	NaN	NaN	-10	0	-999	-999	1
2019057	8.5	NA	NA	NA	0	NA	NA	NA	72.4	506.2461	NA	NaN	NaN	-10	0	-999	-999	1
2019057	9	NA	NA	NA	0	NA	NA	NA	72.4	505.8015	NA	NaN	NaN	-10	0	-999	-999	1
2019057	9.5	NA	NA	NA	0	NA	NA	NA	72.4	505.2541	NA	NaN	NaN	-10	0	-999	-999	1
2019057	10	NA	NA	NA	0	NA	NA	NA	72.4	503.9967	NA	NaN	NaN	-10	0	-999	-999	1
2019057	10.5	NA	NA	NA	0	NA	NA	NA	72.4	503.3989	NA	NaN	NaN	-10	0	-999	-999	1
2019057	11	NA	NA	NA	0	NA	NA	NA	72.4	503.0659	NA	NaN	NaN	-10	0	-999	-999	1
2019057	11.5	NA	NA	NA	0	NA	NA	NA	72.4	501.8309	NA	NaN	NaN	-10	0	-999	-999	1
2019057	12	NA	NA	NA	0	NA	NA	NA	72.4	500.0723	NA	NaN	NaN	-10	0	-999	-999	1
2019057	12.5	NA	NA	NA	0	NA	NA	NA	72.4	498.7196	NA	NaN	NaN	-10	0	-999	-999	1
2019057	13	NA	NA	NA	0	NA	NA	NA	72.4	498.6937	NA	NaN	NaN	-10	0	-999	-999	1
2019057	13.5	NA	NA	NA	1	NA	NA	NA	72.4	498.686	NA	NaN	NaN	-10	0	-999	-999	1
2019057	14	NA	NA	NA	0	NA	NA	NA	72.4	498.4959	NA	NaN	NaN	-10	0	-999	-999	1
2019057	14.5	NA	NA	NA	0	NA	NA	NA	72.4	498.0868	NA	NaN	NaN	-10	0	-999	-999	1
2019057	15	NA	NA	NA	0	NA	NA	NA	72.4	497.9651	NA	NaN	NaN	-10	0	-999	-999	1
2019057	15.5	NA	NA	NA	0	NA	NA	NA	72.4	498.4095	NA	NaN	NaN	-10	0	-999	-999	1
2019057	16	NA	NA	NA	0	NA	NA	NA	72.4	498.6137	NA	NaN	NaN	-10	0	-999	-999	1
2019057	16.5	NA	NA	NA	0	NA	NA	NA	72.4	499.2657	NA	NaN	NaN	-10	0	-999	-999	1
2019057	17	NA	NA	NA	0	NA	NA	NA	72.4	500.1572	NA	NaN	NaN	-10	0	-999	-999	1
2019057	17.5	NA	NA	NA	0	NA	NA	NA	72.4	501.7922	NA	NaN	NaN	-10	0	-999	-999	1
2019057	18	NA	NA	NA	0	NA	NA	NA	72.4	503.6189	NA	NaN	NaN	-10	0	-999	-999	1
2019057	18.5	NA	NA	NA	0	NA	NA	NA	72.4	504.4076	NA	NaN	NaN	-10	0	-999	-999	1
2019057	19	NA	NA	NA	0	NA	NA	NA	72.4	505.676	NA	NaN	NaN	-10	0	-999	-999	1
2019057	19.5	NA	NA	NA	0	NA	NA	NA	72.4	506.7513	NA	NaN	NaN	-10	0	-999	-999	1
2019057	20	NA	NA	NA	0	NA	NA	NA	72.4	506.5668	NA	NaN	NaN	-10	0	-999	-999	1
2019057	20.5	NA	NA	NA	0	NA	NA	NA	72.4	507.3442	NA	NaN	NaN	-10	0	-999	-999	1
2019057	21	NA	NA	NA	0	NA	NA	NA	72.4	508.4464	NA	NaN	NaN	-10	0	-999	-999	1
2019057	21.5	NA	NA	NA	0	NA	NA	NA	72.4	508.693	NA	NaN	NaN	-10	0	-999	-999	1
2019057	22	NA	NA	NA	0	NA	NA	NA	72.4	508.3792	NA	NaN	NaN	-10	0	-999	-999	1
